0,1,2
536377,east+of+eden+1955,3
187143,blonde+ambition+2007,3
3194,ong-bak+the+thai+warrior+2003,4
11852,the+recruiter+2008,4
502449,matador+1986,3
420547,antonias+line+1995,4
609680,for+the+birds+2000,5
378846,a+brief+history+of+time+1991,4
602590,the+pawnbroker+1965,4
579612,winter+light+1963,3
401460,the+haunted+world+of+edward+d.+wood_+jr.+1996,4
568711,the+killing+1956,4
482724,next+stop_+greenwich+village+1976,4
247224,memories+of+underdevelopment+1968,3
346201,dragon+ball+z+bardock+-+the+father+of+goku+1990,3
123753,the+apartment+1996,4
81313,killer+crocodile+1989,4
477811,woman+in+the+dunes+1964,4
509812,2001+a+space+odyssey+1968,4
290411,big+hero+6+2014,3
432899,on+a+clear+day+2005,3
229999,the+violent+kind+2010,4
620041,teenage+mutant+ninja+turtles+2014,2
220641,naked+lunch+1991,4
246270,dry+summer+1963,4
500640,the+wild+child+1970,4
174649,the+private+life+of+henry+viii+1933,4
269372,where+is+my+friends+house+1987,3
229574,brief+encounter+1945,4
72360,two+times+lotte+1950,3
190604,american+dream+1990,4
381158,dr.+no+1962,4
99990,stanley+kubrick+a+life+in+pictures+2001,4
410380,night+train+to+munich+1940,4
376597,vincent++theo+1990,3
212294,cinderella+ii+dreams+come+true+2002,3
153756,kwik+stop+2001,3
161203,second+chorus+1940,4
273079,the+most+dangerous+man+in+america+daniel+ellsberg+and+the+pentagon+papers+2009,4
424804,after+the+thin+man+1936,4
239206,flesh+for+frankenstein+1973,4
492497,orange+county+2002,3
634258,shutter+island+2010,5
34988,black+beauty+1994,4
47751,the+boy+in+the+striped+pyjamas+2008,4
476939,quantum+of+solace+2008,3
503104,spirit+stallion+of+the+cimarron+2002,4
405108,auntie+mame+1958,5
437164,hard+sun+2014,3
325293,jcvd+2008,4
258321,the+gay+divorcee+1934,3
361690,saving+private+ryan+1998,5
492879,the+ashes+1965,4
91619,seabiscuit+2003,4
395277,viridiana+1961,5
5845,bataan+1943,4
433999,black+robe+1991,4
380812,only+you+1994,4
264277,kung+fu+hustle+2004,3
93668,poolside+2012,4
115927,black+rain+1989,4
526510,ballet+shoes+2008,4
470928,city+of+life+and+death+2009,4
15377,the+times+of+harvey+milk+1984,3
282172,dracula+prince+of+darkness+1966,3
420719,in+the+year+of+the+pig+1969,4
290442,cocaine+cowboys+2006,4
96433,viva+villa+1934,4
5316,la+montaa+rusa+2012,4
90576,snow+white+and+the+seven+dwarfs+1937,4
524766,me+without+you+2001,3
384631,raiders+of+the+lost+ark+1981,4
327216,10+things+i+hate+about+you+1999,4
323620,the+gods+must+be+crazy+1980,2
194167,rescue+dawn+2006,4
399755,triumph+of+the+will+1935,4
66737,no+time+for+love+1943,4
620816,pulp+fiction+1994,4
224677,camp+2013,3
71831,two+for+the+road+1967,4
41871,school+for+scoundrels+1960,3
545783,no+way+to+treat+a+lady+1968,4
201808,dogtooth+2009,4
43297,travelling+salesman+2012,3
487026,kingsman+the+secret+service+2015,4
116646,spine+tingler+the+william+castle+story+2007,4
549841,the+rutles+all+you+need+is+cash+1978,4
266660,whiplash+2014,3
122379,casino+royale+2006,4
418534,the+hobbit+the+battle+of+the+five+armies+2014,4
608805,the+music+room+1958,4
266095,gaslight+1944,4
282649,cra+cuervos+1975,3
16747,willard+1971,4
170381,i+vitelloni+1953,3
543934,aliens+1986,4
533843,the+girls+1968,3
277281,glengarry+glen+ross+1992,3
366001,genova+2008,4
164504,the+irony+of+fate_+or+enjoy+your+bath+1975,4
42233,close+encounters+of+the+third+kind+1977,4
489458,harry+potter+and+the+deathly+hallows+part+1+2010,5
317451,master+and+commander+the+far+side+of+the+world+2003,5
525958,hunter+prey+2009,4
289244,the+cat+returns+2002,4
474549,beethovens+3rd+2000,3
20871,it+happened+one+night+1934,5
222881,someone+to+watch+over+me+1987,4
427813,the+texas+chainsaw+massacre+2+1986,3
615503,the+light+bulb+conspiracy+2010,4
251537,frozen+2013,4
515527,the+bells+of+st.+marys+1945,5
160278,net+worth+1995,4
182805,henry+v+1989,4
584883,tinker+bell+and+the+lost+treasure+2009,3
217771,steamboy+2004,4
411854,dancing+lady+1933,4
23959,judgement+day+1983,3
321578,detour+1945,5
346413,patton+oswalt+no+reason+to+complain+2006,4
422957,crazy+horse+2011,4
168352,the+caine+mutiny+court-martial+1988,3
514167,senna+2010,5
14998,the+best+exotic+marigold+hotel+2011,4
462997,sleepwalk+with+me+2012,4
500925,nanook+of+the+north+1922,5
602356,42+up+1998,5
158179,imagine+im+beautiful+2014,4
265871,scrooge+1951,5
517533,dogtown+and+z-boys+2001,3
349871,olive+kitteridge+2014,4
208439,the+bad+and+the+beautiful+1952,4
470839,gone+girl+2014,4
246952,fitzcarraldo+1982,4
347447,this+is+martin+bonner+2013,5
203150,anchors+aweigh+1945,5
240461,the+thin+man+1934,3
483409,kill+bill+vol.+1+2003,3
414298,from+the+earth+to+the+moon+1998,3
164336,a+letter+to+momo+2012,4
311572,capturing+the+friedmans+2003,5
519649,whale+rider+2003,4
427847,gettysburg+1993,4
197307,fullmetal+alchemist+the+movie+conqueror+of+shamballa+2005,3
144798,the+killing+fields+1984,4
174263,my+little+pony+equestria+girls+2013,4
482052,hombre+1967,3
172606,super+hero+party+clown+2012,4
221449,the+white+sister+1923,4
143852,why+we+fight+2005,3
508085,the+house+i+live+in+2012,4
377691,big+hero+6+2014,4
551205,le+havre+2011,4
378451,lore+2012,5
455834,toronto+stories+2008,4
446904,before+sunrise+1995,4
608173,sholay+1975,4
191370,tekkonkinkreet+2006,4
63670,manufacturing+consent+noam+chomsky+and+the+media+1992,4
31356,powaqqatsi+1988,5
374599,green+for+danger+1946,4
95174,different+from+the+others+1919,4
572290,ferngully+2+the+magical+rescue+1998,4
306056,divergent+2014,5
93252,die+hard+1988,4
639883,rebecca+1940,4
452443,tonight+and+every+night+1945,4
444645,the+parallax+view+1974,5
128109,the+beast+with+five+fingers+1946,3
479624,master+and+commander+the+far+side+of+the+world+2003,4
506770,opening+night+1977,4
256961,yumeji+1991,4
494869,live+and+let+die+1973,3
415776,la+bandera+1935,4
534802,elizabeth+1998,4
302214,oceans+2009,4
460108,the+life+of+oharu+1952,4
491864,the+snitch+cartel+2012,4
287888,fight+club+1999,4
217818,killshot+2008,4
416486,the+lord+of+the+rings+the+two+towers+2002,4
343080,black+ice+2007,5
245084,megamind+2010,4
493701,steam+2007,3
71976,the+french+lieutenants+woman+1981,4
501417,lagaan+once+upon+a+time+in+india+2001,5
165572,brothers+war+2009,4
326838,the+incredible+hulk+returns+1988,4
147631,his+new+profession+1914,2
90953,folks+1992,3
485278,smokey+and+the+bandit+1977,3
446189,babettes+feast+1987,4
348808,our+town+1940,3
445789,goodfellas+1990,4
71459,summer+of+sam+1999,3
330798,frozen+2013,4
270147,greenwich+village+music+that+defined+a+generation+2013,3
359088,wanted+2008,3
481863,life+is+beautiful+1997,4
437011,school+for+scoundrels+1960,3
160228,bad+day+at+black+rock+1955,3
530027,alien+1979,4
532890,the+sacrifice+1986,4
7562,the+lion+king+1994,2
